lost_id,user_id,category_id,item_name,description,location,date_lost,status,created_at
1,2,4,HP Laptop,HP laptop without charger found on the table,Peshawar Cantonment Railway Station,2026-04-25,verified,2026-05-14 01:03:10
2,55,8,Notebook,Drawing file with papers found near the gate,CECOS University Peshawar,2026-01-18,returned,2026-03-30 18:12:48
3,42,3,Android Phone,Samsung phone with blue cover found on the floor,Peshawar Medical College,2025-12-06,verified,2026-02-06 08:26:56
4,50,2,Student ID Card,Student card found in the parking area with photo visible,Gulbahar No. 3,2026-04-17,pending,2026-04-25 02:55:09
5,39,12,Mark Sheet,Birth certificate found in an envelope near the gate,Sarhad University of Science and IT,2026-01-12,returned,2026-03-06 08:41:15
6,12,13,Earbuds,Power bank found on the seat near the entrance,Peshawar Medical College,2026-01-16,returned,2026-01-26 18:16:33
7,49,6,Office Keys,House keys with a green tag found near the gate,Peshawar Cantonment Railway Station,2026-02-01,returned,2026-03-15 11:47:16
8,18,2,University Card,University card found on a bench near the library,Peshawar Medical College,2025-11-28,pending,2026-01-16 21:05:54
9,20,11,Bangle,Silver bracelet found on the floor near counter,Gulbahar No. 2,2026-01-08,verified,2026-03-08 22:18:15
10,27,6,Motorcycle Keys,Motorcycle keys with remote found near the parking area,Sarhad University of Science and IT,2026-03-25,pending,2026-05-11 14:56:43
11,46,12,Birth Certificate,Degree certificate in folder found near the office,University of Engineering and Technology Peshawar,2026-04-30,verified,2026-04-30 11:22:59
12,25,4,Acer Laptop,HP laptop without charger found on the table,Jamia Masjid Gulbahar,2026-01-03,returned,2026-05-01 17:38:06
13,16,15,Thermos,Tiffin box with food inside found in the cafeteria,Frontier College Peshawar,2026-01-08,pending,2026-02-11 13:44:01
14,26,6,Key Bundle,Motorcycle keys with remote found near the parking area,Lady Reading Hospital,2026-03-25,verified,2026-05-15 10:30:33
15,24,5,Purse,Wallet with cash and CNIC found near the gate,Rehman Medical Institute,2026-03-10,verified,2026-04-04 09:08:30
16,27,9,Dupatta,Brown shawl left on the bench near the entrance,City University of Science and IT,2025-12-24,verified,2026-04-20 13:17:10
17,54,13,Earphones,Samsung mobile charger found near a charging socket,Hayatabad Phase 6,2025-12-29,verified,2026-04-27 02:59:11
18,46,14,Meezan Bank Card,Meezan Bank debit card found on the floor,Edwardes College Peshawar,2026-03-25,verified,2026-04-08 16:11:42
19,10,9,Dupatta,Brown shawl left on the bench near the entrance,Hayatabad Medical Complex,2026-01-20,pending,2026-04-24 02:56:54
20,2,10,Spectacles,Spectacles in hard case found on the table,Budni Bazaar,2025-12-08,returned,2026-02-04 05:57:30
21,14,8,Textbook,Drawing file with papers found near the gate,Hayatabad Phase 1,2026-04-07,returned,2026-04-19 15:04:55
22,46,8,Register,Stationery pouch with pens and pencils found on floor,City University of Science and IT,2026-03-20,pending,2026-04-29 04:38:49
23,8,1,National ID Card,"CNIC card found on the bench, name visible on it",Firdous Bazaar,2026-05-03,pending,2026-05-15 13:46:14
24,37,13,Earbuds,Charging cable found near the power socket,Firdous Bazaar,2026-04-27,verified,2026-05-13 12:42:47
25,33,4,HP Laptop,Acer laptop found near the main gate in a bag,Peshawar Medical College,2026-04-09,returned,2026-05-09 10:57:59
26,42,8,Notebook,Notebook with detailed notes found on the bench,Abasyn University Peshawar,2025-12-31,verified,2026-03-26 13:21:35
27,39,7,Shoulder Bag,University bag found in the cafeteria area,Hayatabad Medical Complex,2025-12-13,verified,2026-04-07 12:26:17
28,45,14,ATM Card,UBL credit card found near the reception counter,Agriculture University Peshawar,2026-03-08,returned,2026-04-11 05:58:14
29,41,1,CNIC,Computerized ID card found near the reception area,Sarhad University of Science and IT,2026-03-22,returned,2026-05-09 05:13:41
30,20,5,Purse,Brown leather wallet with some cash inside found on floor,Sunehri Masjid,2026-01-29,returned,2026-01-31 10:51:25
31,42,12,Birth Certificate,Domicile certificate found near the main counter,Khyber Bazaar,2026-03-31,verified,2026-04-15 04:49:48
32,45,1,National ID Card,Computerized ID card found near the reception area,Gulbahar No. 1,2026-01-17,verified,2026-05-01 22:34:13
33,49,7,University Bag,Shoulder bag with clothes inside found near entrance,Agriculture University Peshawar,2026-02-09,verified,2026-03-04 21:54:59
34,16,15,Prayer Beads,Prayer beads found near the mosque area,Khyber Bazaar,2026-03-07,verified,2026-04-06 02:00:35
35,2,4,Dell Laptop,Dell laptop in black bag found near the library,Islamia College University,2025-12-20,returned,2026-03-10 21:13:16
36,50,3,Samsung Phone,Black Android phone found switched on near the entrance,Firdous Bazaar,2026-04-19,verified,2026-05-11 23:38:00
37,30,11,Gold Ring,Pair of gold earrings found near the chair,Edwardes College Peshawar,2025-12-16,verified,2026-01-26 20:29:54
38,54,5,Gents Wallet,Gents wallet with visiting cards found near entrance,Firdous Bazaar,2025-11-24,verified,2026-01-18 08:17:33
