match_id,lost_id,found_id,similarity_score,match_status,matched_at
1,48,21,85.29,rejected,2026-05-09 19:24:45
2,45,26,88.51,confirmed,2026-04-23 13:43:21
3,43,95,79.89,pending,2026-03-28 09:48:52
4,38,91,71.87,pending,2026-03-22 10:28:07
5,56,88,82.25,pending,2026-04-04 09:46:41
6,49,39,99.7,pending,2026-05-06 23:05:52
7,10,57,70.91,confirmed,2026-03-24 04:18:17
8,88,36,64.59,pending,2026-04-19 12:49:28
9,62,6,97.23,confirmed,2026-04-10 13:58:40
10,93,75,87.56,rejected,2026-05-08 15:18:11
11,36,13,75.9,pending,2026-05-02 20:44:46
12,62,38,83.37,pending,2026-05-02 12:32:33
13,76,62,75.79,rejected,2026-04-29 02:29:22
14,21,17,69.29,pending,2026-04-30 05:52:25
15,18,51,70.87,pending,2026-05-12 04:40:06
16,53,9,73.58,confirmed,2026-05-15 05:07:34
17,14,11,93.44,rejected,2026-05-15 17:14:27
18,37,16,64.4,rejected,2026-03-27 05:16:26
19,93,1,86.68,pending,2026-05-13 15:53:43
20,72,33,85.81,rejected,2026-04-28 15:07:03
21,34,34,94.3,confirmed,2026-04-16 02:10:19
22,19,91,92.26,rejected,2026-05-13 04:38:01
23,66,39,84.33,confirmed,2026-05-14 04:07:00
24,78,22,70.18,pending,2026-04-01 22:14:06
25,68,20,79.2,rejected,2026-05-13 01:59:07
26,85,31,97.27,rejected,2026-05-14 02:29:39
27,28,80,87.5,pending,2026-04-20 16:52:33
28,10,74,89.2,confirmed,2026-05-11 21:07:22
29,84,24,68.67,rejected,2026-04-18 23:45:40
30,11,4,76.34,pending,2026-05-12 14:24:14
31,75,28,82.28,rejected,2026-04-22 19:45:37
32,38,73,83.45,confirmed,2026-04-15 15:12:33
33,9,50,67.17,pending,2026-04-02 22:16:36
34,61,58,77.0,rejected,2026-04-19 09:55:52
35,19,54,73.75,pending,2026-04-16 08:15:37
36,7,100,67.19,rejected,2026-04-24 00:27:31
37,81,11,78.27,rejected,2026-04-10 05:53:21
38,44,9,66.19,rejected,2026-05-10 19:59:57
39,4,20,67.17,confirmed,2026-05-13 10:04:14
40,31,3,74.64,pending,2026-04-16 05:20:58
41,32,86,84.71,confirmed,2026-03-30 16:19:28
42,15,12,64.15,rejected,2026-05-11 14:17:00
43,50,96,97.51,pending,2026-05-14 03:52:48
44,81,7,67.54,pending,2026-05-05 15:57:57
45,92,20,95.5,pending,2026-04-18 02:00:15
46,6,85,64.09,confirmed,2026-03-04 13:18:13
47,26,94,69.04,rejected,2026-03-11 12:57:10
48,2,26,75.81,confirmed,2026-05-01 19:16:21
49,89,36,77.96,pending,2026-04-05 13:11:59
50,93,67,93.65,rejected,2026-04-26 04:59:57
51,29,80,67.64,pending,2026-03-22 22:46:42
52,74,57,95.37,confirmed,2026-05-07 16:49:20
53,69,7,90.92,pending,2026-04-10 20:47:33
54,24,76,76.66,rejected,2026-04-13 21:42:47
55,92,56,95.74,rejected,2026-04-23 00:54:37
56,18,86,77.52,rejected,2026-05-15 09:42:07
57,33,40,78.95,confirmed,2026-05-09 07:39:59
58,4,78,76.19,pending,2026-04-21 23:46:33
59,8,89,94.5,rejected,2026-03-17 23:44:29
60,6,66,78.91,confirmed,2026-04-03 22:31:30
